id,fake-company-name,company-email,cnpj
"1","Ferreira Ltda.","zamana.rafaela@assuncao.br","14.352.208/0001-84"
"2","Marés e Associados","beatriz71@dasdores.br","81.187.000/0001-44"
"3","Queirós S.A.","benjamin.gomes@benites.org","86.751.968/0001-75"
"4","Mendes e da Silva e Filhos","dias.vitoria@sales.org","61.306.876/0001-55"
"5","Valência e Reis","zcorreia@mares.net.br","74.985.394/0001-10"
"6","Pereira Comercial Ltda.","csaraiva@montenegro.com.br","15.569.839/0001-12"
"7","Ramos e Uchoa Ltda.","demian.marin@ferreira.net","46.414.522/0001-30"
"8","Branco e Torres e Associados","uramos@ferraz.com.br","78.584.788/0001-18"
"9","Rivera-Ferminiano","sergio.rivera@aguiar.com","59.403.835/0001-35"
"10","Furtado Comercial Ltda.","yortega@assuncao.br","10.728.780/0001-44"
"11","Velasques e Pereira","maia.sabrina@fontes.net","11.315.017/0001-54"
"12","Fontes e Associados","sophie49@caldeira.net","13.088.606/0001-72"
"13","Ortega-Branco","valentin.santana@solano.org","06.678.079/0001-90"
"14","Lutero Comercial Ltda.","framos@azevedo.net","96.541.068/0001-57"
"15","Rocha-Batista","cruz.emanuel@ferreira.org","61.665.418/0001-02"
"16","Ramos Comercial Ltda.","fernandes.alessandra@ramires.com.br","83.448.488/0001-41"
"17","Paz e Quintana e Filhos","andres.azevedo@fontes.br","87.382.766/0001-66"
"18","Faro S.A.","adriana.faria@salas.net.br","63.617.216/0001-10"
"19","Salgado e Santana e Associados","goncalves.lucas@delgado.net","65.019.037/0001-07"
"20","Barreto Comercial Ltda.","delatorre.leandro@lira.com","53.586.265/0001-80"
"21","Aranda-Ortiz","silvana.darosa@lozano.com","98.100.925/0001-09"
"22","Gil Comercial Ltda.","ivan.darosa@vega.org","22.707.729/0001-35"
"23","Zambrano e Branco e Filhos","upadilha@rodrigues.com","85.125.323/0001-64"
"24","Caldeira Comercial Ltda.","franco.ferraz@roque.net.br","74.914.716/0001-30"
"25","Santacruz e da Cruz Ltda.","carla56@uchoa.com.br","00.922.589/0001-85"
"26","Gonçalves e Filhos","gomes.noeli@pena.org","69.515.619/0001-35"
"27","Pacheco Comercial Ltda.","montenegro.paulina@maldonado.org","26.832.653/0001-20"
"28","Medina e Salas Ltda.","ramos.sophie@teles.com","51.461.709/0001-25"
"29","Ortega Ltda.","suzana08@meireles.net.br","78.375.686/0001-92"
"30","Aragão e da Cruz e Associados","rfurtado@ferraz.com","48.470.425/0001-90"
"31","Gusmão-Leon","garcia.isabel@uchoa.org","48.624.707/0001-03"
"32","Marinho-Bonilha","nadia.galhardo@dominato.com.br","55.466.924/0001-70"
"33","Queirós e Queirós","rangel.hortencia@vasques.com","60.001.206/0001-68"
"34","Delvalle e Filhos","nlovato@galvao.com","50.144.289/0001-90"
"35","Batista Ltda.","ymaia@paz.net.br","76.189.099/0001-83"
"36","Madeira Comercial Ltda.","everton56@faria.br","54.097.597/0001-63"
"37","Neves e Queirós Ltda.","vcordeiro@medina.com","51.046.916/0001-13"
"38","D'ávila e Associados","adriana88@azevedo.com.br","85.067.984/0001-80"
"39","Pacheco e Filhos","catarina.aguiar@branco.com.br","94.673.808/0001-83"
"40","Cordeiro e Assunção e Associados","josefina.ferminiano@toledo.com.br","96.407.694/0001-55"
"41","Faro e Ortega e Filhos","fernandes.rodrigo@deoliveira.net.br","19.463.446/0001-80"
"42","Duarte S.A.","marinho.dante@dasdores.br","43.865.306/0001-13"
"43","Lutero e Lutero","leonardo.carrara@balestero.net.br","80.701.149/0001-37"
"44","Neves e Azevedo e Associados","sabrina.cruz@pereira.com","38.207.864/0001-51"
"45","Camacho e Lira S.A.","abril14@valdez.org","98.664.981/0001-76"
"46","Lira e da Rosa e Filhos","santiago02@lutero.net","62.168.159/0001-77"
"47","Leal-Duarte","lucas.marinho@serrano.org","55.421.894/0001-85"
"48","Franco Comercial Ltda.","mascarenhas.malena@rivera.br","10.012.728/0001-97"
"49","das Neves-Corona","valeria24@zambrano.com","30.162.001/0001-01"
"50","Ramos-Casanova","ferreira.miranda@burgos.org","67.520.166/0001-00"
"51","Lutero e Quintana","hvalentin@cervantes.com","15.428.716/0001-61"
"52","Espinoza-Toledo","imaldonado@davila.org","15.064.242/0001-16"
"53","Lozano Ltda.","prado.irene@salgado.com","67.369.169/0001-94"
