id,fake-company-name,company-email,siret,siren
"1","Leblanc S.A.S.","Le Droit D'innover À L'état Pur","martin.verdier@bourdon.fr","855 592 598 00640","482 809 274"
"2","Meunier SAS","La Sécurité De Louer À L'état Pur","umarechal@camus.fr","883 681 082 09582","637 167 222"
"3","Guerin","Le Plaisir D'évoluer Plus Simplement","simon.alfred@adam.org","330 315 391 00541","880 036 652"
"4","Le Goff Mace S.A.R.L.","La Possibilité D'innover Naturellement","adrien.thierry@brun.fr","818 302 515 67923","100 840 552"
"5","De Sousa","Le Plaisir D'évoluer Plus Simplement","camille.bourgeois@allard.org","265 348 672 34203","839 603 016"
"6","Allain S.A.R.L.","Le Pouvoir De Rouler Sans Soucis","monique19@labbe.com","118 030 782 00510","327 477 451"
"7","Rousset","La Liberté De Louer De Manière Efficace","darnaud@mace.fr","422 168 302 05151","987 087 574"
"8","Carlier Sauvage S.A.S.","Le Droit D'évoluer En Toute Sécurité","cgarcia@legall.fr","489 927 004 42520","285 645 404"
"9","Joseph","Le Droit De Louer Plus Simplement","margaret.diallo@gros.net","551 679 467 70881","671 008 001"
"10","Chevallier S.A.S.","L'art D'atteindre Vos Buts Plus Facilement","clambert@perrin.fr","754 702 850 02759","832 301 980"
"11","Barbier S.A.R.L.","La Liberté D'atteindre Vos Buts À La Pointe","christine.tessier@hamel.org","709 687 404 62679","648 414 829"
"12","Lemaire","Le Droit De Changer De Manière Efficace","rodriguez.olivie@peron.fr","265 770 222 00684","322 563 073"
"13","Parent","Le Pouvoir De Louer À Sa Source","nicolas20@marie.fr","269 703 799 08381","950 846 725"
"14","Vincent","Le Droit D'avancer À La Pointe","vincent80@seguin.fr","197 401 078 01227","903 565 380"
"15","Dufour","L'art D'innover En Toute Sécurité","edith83@traore.fr","286 545 421 06655","804 183 002"
"16","Schneider","Le Confort De Concrétiser Vos Projets De Manière Sûre","guyon.alix@monnier.com","151 468 642 44730","403 196 272"
"17","Joubert","Le Droit D'avancer De Manière Sûre","ylambert@petitjean.com","330 374 471 05365","465 431 591"
"18","Marques","La Possibilité D'atteindre Vos Buts Naturellement","bouvet.laure@costa.net","425 867 819 09732","536 664 287"
"19","Lenoir","Le Plaisir D'atteindre Vos Buts À La Pointe","joseph29@gaudin.com","841 718 232 07541","925 775 447"
"20","Moulin SAS","L'avantage De Concrétiser Vos Projets De Manière Sûre","guyon.edouard@dupuy.fr","367 986 742 08787","695 151 787"
"21","Raynaud","La Sécurité De Changer À L'état Pur","dorothee43@chevallier.com","751 054 636 44283","738 988 013"
"22","Jourdan","Le Pouvoir De Concrétiser Vos Projets Sans Soucis","diane64@remy.com","617 132 949 68361","821 377 637"
"23","Vallet Hoareau et Fils","Le Confort De Concrétiser Vos Projets En Toute Sécurité","franck.guilbert@gallet.net","614 996 916 00977","357 036 417"
"24","Bernard","La Sécurité De Rouler À La Pointe","benoit.thierry@chevalier.fr","852 487 362 00539","174 818 591"
"25","Gillet Dupre S.A.R.L.","Le Confort De Louer Plus Rapidement","merle.dominique@alves.com","143 068 039 00682","930 393 442"
"26","Perrot Chauvet et Fils","L'assurance D'avancer En Toute Sécurité","camus.benoit@samson.fr","541 900 320 00832","841 328 032"
"27","Torres S.A.S.","La Sécurité D'atteindre Vos Buts À Sa Source","frederique03@cousin.com","789 962 107 01195","611 424 912"
"28","Potier S.A.S.","La Sécurité D'innover Naturellement","peron.olivier@torres.org","685 098 220 86897","156 081 465"
"29","Dupuis","Le Plaisir D'avancer De Manière Efficace","martine54@blanchet.com","420 364 200 01335","918 299 322"
"30","Baudry","L'art De Changer Plus Facilement","lebon.olivie@fernandes.fr","838 567 006 26059","940 548 647"
