id,fake-company-name,company-email,national-regon,local-regon
"1","Kowalski sp. j.","borowski.kornel@michalak.info","394085755","29330918056665"
"2","Błaszczyk","bak.natan@majewska.pl","514146421","67953858781871"
"3","Wojciechowska sp. j.","xzalewska@kowalczyk.pl","918546040","51310472297320"
"4","Mazur-Błaszczyk","justyna89@zajac.pl","474686852","21903695977785"
"5","Jasiński","lstepien@sawicka.pl","650682884","35887850956208"
"6","Urbański sp. j.","szymczak.tymoteusz@grabowska.pl","651255227","67885030243032"
"7","Sadowska sp. p.","liliana93@grabowski.com","572029963","47352017344111"
"8","Brzeziński","adamski.tymon@wisniewska.pl","579736439","99595597812191"
"9","Stowarzyszenie Głowacki","jjakubowski@andrzejewski.pl","293290137","09453188562027"
"10","Szulc P.P.O.F","nikola.czerwinski@adamska.pl","436862356","39806246140219"
"11","Szymańska sp. k.","emichalska@kubiak.pl","230810896","03581417857192"
"12","Wasilewski sp. z o.o.","malwina.borkowski@bak.info","336896507","41158090133152"
"13","Wieczorek-Zieliński","magdalena.krupa@brzezinska.com.pl","776822014","89063053614758"
"14","Kamińska sp. z o.o.","fkrawczyk@krajewska.pl","013665206","83849284079454"
"15","Krawczyk","nowakowska.karolina@kwiatkowski.info","652504490","51585592975351"
"16","Grupa Lis","szewczyk.urszula@adamski.info","077144319","31900149050703"
"17","Mazur","natalia.baran@wisniewski.pl","892856960","87433402360382"
"18","Andrzejewska sp. p.","xkalinowski@szewczyk.info","319626089","35603346932468"
"19","Szulc sp. z o.o.","osawicka@borkowski.pl","856899874","83720535263270"
"20","Kołodziej sp. z o.o.","tpawlak@mazurek.com.pl","659211459","43690142949800"
"21","Chmielewski s. c.","agata96@walczak.pl","358367654","55973920604699"
"22","Wróbel s. c.","blaszczyk.zuzanna@gajewski.pl","351296626","19654594820733"
"23","Michalski","klaskowska@laskowski.info","398951362","81350014799107"
"24","Spółdzielnia Jakubowska","konstanty.wojciechowski@wozniak.net","293808893","69357340874987"
"25","Grupa Laskowska","justyna39@sobczak.com","832263149","99982555766880"
"26","Kaźmierczak S.K.A","andrzej91@cieslak.pl","611618069","87480184925496"
"27","Brzeziński","magdalena.baranowski@kubiak.com","292493424","37727786776169"
"28","Adamska sp. z o.o.","kowalczyk.bruno@zielinski.pl","396490632","81039966075909"
"29","Laskowski sp. p.","daria62@pawlowski.info","535446954","31538383343331"
"30","Szymczak S.K.A","tstepien@krupa.pl","531146630","51715476343370"
"31","Szewczyk i syn","klara.kaczmarek@wasilewska.pl","790049589","49119509086504"
"32","Olszewska S.K.A","eliza54@kaczmarek.pl","837573593","29095924969883"
"33","Stowarzyszenie Adamczyk","znowicka@konieczny.com","298811718","35954697900710"
"34","Szewczyk","ysikorski@wieczorek.pl","632934220","03841976178704"
"35","Wróblewski P.P.O.F","agnieszka22@wlodarczyk.info","957574409","09162219189749"
"36","Fundacja Kozłowska","artur.witkowska@jasinski.pl","217433828","09504379799805"
"37","Krajewski P.P.O.F","krzysztof.borowski@cieslak.com","611965470","33319270591524"
"38","Marciniak","artur.kalinowska@przybylski.pl","354012776","57815277116109"
"39","Malinowska-Krajewska","clis@kowalczyk.net","433354702","91488907885245"
"40","Makowski S.K.A","dudek.angelika@baranowska.com","554574380","21200078680886"
"41","Krajewski sp. z o.o.","blazej41@brzezinski.info","275815170","69857375551420"
"42","Marciniak","hcieslak@sikora.pl","032432855","19946645114208"
"43","Kalinowska","majewski.aleksander@blaszczyk.pl","375067835","81307805693930"
"44","Cieślak sp. j.","nkucharski@krajewski.pl","791330259","49382237860492"
"45","Szewczyk","matylda.chmielewski@bak.com.pl","250563531","77948425684173"
"46","Krajewski sp. p.","olgierd20@kucharski.pl","030882873","29961668613710"
"47","Stowarzyszenie Czarnecka","julita.szulc@jakubowski.com.pl","416301283","61839356737565"
"48","Ostrowski sp. k.","olszewski.inga@przybylska.pl","212586480","01458866694835"
"49","Makowska","jakub53@dabrowska.com","138394124","91605003289884"
"50","Spółdzielnia Wasilewska","baranowski.anna@czarnecka.info","294666857","93050561666334"
"51","Kowalczyk-Czerwińska","zofia81@kolodziej.org","119406419","89945712830963"
"52","Urbańska","eduda@szczepanski.pl","111569487","31000997508721"
"53","Olszewski S.K.A","cdudek@brzezinska.org","955361313","57137408946580"
"54","Malinowski sp. k.","bak.olga@szulc.info","376486215","05173506454166"
"55","Walczak","michal.kalinowski@adamska.info","518566150","69301526938407"
"56","Michalak-Wróblewska","sziolkowska@adamczyk.pl","532291468","93275583704658"
"57","Urbańska","malgorzata.kowalska@nowicki.pl","457568956","01985541666620"
"58","Spółdzielnia Sikorski","kpawlak@adamska.info","091998217","11022664434155"
"59","Czerwińska sp. j.","lukasz.kolodziej@kwiatkowska.pl","199523114","01590970197765"
"60","Marciniak sp. k.","wbaran@makowska.com","913682091","95463700367304"
"61","Wysocka","pkrupa@malinowski.net","497675320","67739425623405"
"62","Kamińska S.A.","daria.pietrzak@kwiatkowski.pl","873284470","87663908602114"
"63","Sokołowska sp. j.","katarzyna.jaworska@makowski.pl","651363514","03028450519697"
"64","Czarnecka sp. k.","ignacy71@walczak.com.pl","652657235","75311759089922"
"65","Konieczny","wysocka.joanna@urbanski.pl","773632626","85837276391940"
"66","Krupa i syn","kozlowska.adrianna@borkowska.info","812947320","57159660210462"
"67","Witkowska S.K.A","twrobel@bak.com.pl","854804326","41904620777418"
"68","Baranowska-Dudek","ymalinowski@kubiak.pl","375309244","61388975078077"
"69","Majewski","zalewski.wiktor@wojciechowski.info","078339114","49897311327731"
"70","Szczepański","wojciechowska.sara@bak.pl","893714446","17157090573115"
"71","Kalinowski sp. p.","tomaszewski.agata@andrzejewska.info","831890849","07301967554205"
"72","Michalska s. c.","ostrowski.pawel@wisniewski.com.pl","874254821","47086227558803"
"73","Jankowska","wieczorek.dorota@glowacki.pl","373104354","21849882420640"
"74","Stowarzyszenie Wróbel","rafal38@kozlowski.pl","813598287","79952707932780"
"75","Nowakowski","chmielewska.adrianna@andrzejewski.org","293266044","13420782379992"
"76","Fundacja Wojciechowska","kaja32@duda.info","831115435","63300520870703"
"77","Sokołowski-Kucharska","marcin.andrzejewski@kwiatkowski.pl","718465660","35443102029430"
"78","Stowarzyszenie Sawicki","witold.mazurek@marciniak.org","037086062","13159279576920"
"79","Fundacja Jabłońska","ewa.sobczak@sawicki.org","018176802","09776054014347"
"80","Wysocki sp. z o.o.","zkaminska@sikorska.net","853415261","83942341052143"
"81","Maciejewska S.K.A","ewelina86@krupa.pl","294366240","11606614755631"
"82","Duda sp. k.","usobczak@jaworska.com","034645420","09442865030760"
"83","Czarnecki S.K.A","nadia.lis@witkowska.com.pl","517757208","49389894422697"
"84","Czerwiński","nowak.kazimierz@olszewski.pl","776413586","49593765488777"
"85","Jasińska","piotr.ostrowski@lewandowski.com.pl","697119988","61295960210154"
"86","Michalski-Kowalska","dominika.gajewska@mazurek.com.pl","314633423","51419546083106"
"87","Mróz","rkwiatkowski@dudek.com.pl","355871381","21932871625192"
"88","Jaworska","maks77@gajewska.pl","375708903","83109146294680"
"89","Wróbel","szulc.kornel@majewski.pl","850501095","85746875193908"
"90","Sikora","oliwia.pietrzak@blaszczyk.org","451728123","35260008409679"
"91","Nowakowska sp. j.","michal74@jasinski.com","851535328","69642496282559"
"92","Pawłowska s. c.","njablonski@wojciechowski.org","772416369","85402662763756"
"93","Brzezińska sp. p.","amelia60@walczak.pl","330747396","33068732362223"
"94","Dudek s. c.","eliza.dabrowski@brzezinska.pl","990810956","23216105443773"
"95","Mróz-Nowakowski","mazurek.nataniel@kucharska.pl","953988960","59526199869067"
"96","Wójcik","cborowski@jasinski.pl","192428170","15944432866477"
"97","Wójcik sp. z o.o.","przemyslaw28@wojcik.pl","716854860","13027331024892"
"98","Wróbel","maurycy68@nowakowska.pl","274291261","39696502920380"
"99","Grupa Wojciechowski","zielinski.marika@wilk.pl","353474463","29466068816861"
"100","Michalska-Sokołowski","mazur.kornel@stepien.org","796640540","13596871950189"
"101","Stowarzyszenie Kaźmierczak","nlewandowski@michalska.net","552635320","17023343666795"
"102","Spółdzielnia Jakubowska","dwilk@kazmierczak.pl","711722177","17451304911140"
"103","Majewski sp. j.","szymczak.julianna@gajewska.pl","918605669","35275477565600"
"104","Grupa Marciniak","michalina.borowska@dabrowska.com.pl","131876630","05165116617680"
"105","Walczak S.A.","marek13@rutkowska.pl","738121360","73362910147947"
"106","Szewczyk","bczerwinski@sikorski.pl","833659300","07199688904066"
"107","Lewandowski S.K.A","maciejewski.magdalena@sokolowski.com","992568672","81624991440190"
"108","Wróblewska","wojcik.liwia@kucharska.net","457841004","25798989441530"
"109","Szewczyk","dszymczak@wilk.com.pl","978974220","53848846233873"
"110","Fundacja Zakrzewska","konstanty84@wisniewska.info","772178183","05942310525097"
"111","Wysocki","ida.nowakowska@zielinski.pl","651616056","75238660372264"
"112","Błaszczyk sp. p.","jagoda.gajewska@kaminski.net","532522413","63582792038951"
"113","Stowarzyszenie Stępień","uszewczyk@krupa.pl","892145437","31256801257192"
"114","Czarnecka","baranowska.karolina@borkowski.com.pl","471850127","01707429343910"
"115","Szczepańska sp. p.","jjasinski@marciniak.pl","572188265","41067966145979"
"116","Szymańska sp. p.","ecieslak@wlodarczyk.info","190470497","75828854039392"
"117","Kaźmierczak-Wróbel","maciejewska.norbert@bak.pl","894795843","69564479189546"
"118","Sikora sp. k.","artur.jablonski@gorska.pl","337105815","71733524013446"
"119","Cieślak s. c.","zakrzewski.kalina@malinowski.pl","639354690","69174695174485"
"120","Wilk sp. z o.o.","blaszczyk.patryk@kubiak.pl","892508756","87515559343795"
"121","Lewandowska P.P.O.F","karol28@urbanska.pl","510335651","63676063201243"
"122","Woźniak S.K.A","hbak@konieczny.info","150045710","03509300033935"
"123","Błaszczyk-Wieczorek","gabriel.zielinska@rutkowska.com.pl","536670547","73389491020211"
"124","Jaworska sp. k.","skowalczyk@gorska.pl","819093157","25891724725413"
"125","Pawlak sp. z o.o.","kalina.kwiatkowska@mazur.com","232009292","81271284141004"
"126","Makowska-Duda","pola.chmielewska@nowicka.pl","058878068","77269783670496"
"127","Majewska","adrian90@kowalska.pl","992106256","23021285343301"
"128","Jasińska-Wiśniewski","jkolodziej@wojciechowska.com.pl","878392098","37944850591063"
"129","Zielińska-Nowak","czerwinska.juliusz@adamczyk.net","212408688","03564544582136"
"130","Lis S.A.","aurelia83@borkowski.com.pl","356650914","25220474754828"
"131","Piotrowska sp. z o.o.","mroz.jacek@wasilewski.pl","256062244","29615142060848"
"132","Przybylska P.P.O.F","nela.mazurek@sikora.com.pl","534508038","79668485538030"
"133","Wieczorek sp. z o.o.","witold.grabowska@makowski.com.pl","915675586","75947716019160"
"134","Zając","dominika60@wieczorek.net","934665883","79099212037247"
"135","Duda sp. z o.o.","ada94@wlodarczyk.pl","310246190","77874002011569"
"136","Baranowski P.P.O.F","jakubowska.karolina@mazur.net","894931967","79239987948868"
"137","Maciejewska","wroblewska.magdalena@michalski.com","714824085","83173343087430"
"138","Lewandowska","szczepanski.antonina@lis.com.pl","137319126","93192653809005"
"139","Woźniak sp. z o.o.","akrupa@nowak.com","150766467","23467369215790"
"140","Kamiński","olga.pietrzak@pawlowski.pl","213557309","81284855243928"
"141","Michalski sp. p.","dcieslak@wojciechowska.info","895248209","51850929290502"
"142","Grupa Wójcik","urszula.sobczak@olszewska.com.pl","131587050","23882154092460"
"143","Jabłoński S.K.A","alex.kowalski@maciejewski.pl","697682465","35846562958114"
"144","Pawłowska","zwieczorek@kwiatkowska.com.pl","771412731","65382977399909"
"145","Czarnecki P.P.O.F","borkowski.borys@witkowski.com.pl","110237257","33647695240913"
"146","Zakrzewski sp. j.","eryk.kowalczyk@krajewska.info","613593072","13862527984051"
"147","Andrzejewski-Czarnecki","slewandowski@kalinowski.pl","216897922","21303245235220"
"148","Woźniak","liliana05@zajac.info","773138694","77451610693288"
"149","Kaczmarek","nataniel27@piotrowska.pl","231163772","53567956915607"
"150","Wójcik s. c.","zajac.ignacy@wilk.pl","994168333","09841299997781"
"151","Witkowski","dudek.maciej@mroz.pl","693419044","27117008312390"
"152","Zając-Kwiatkowski","mateusz18@kowalczyk.pl","910045225","05535821088033"
"153","Górska s. c.","magdalena93@cieslak.pl","676080455","83119744076768"
"154","Sokołowska-Adamska","sokolowski.jakub@szewczyk.org","417326256","39181691653850"
"155","Makowska P.P.O.F","jankowska.cezary@szewczyk.com.pl","298467600","09585970243677"
"156","Wróblewska i syn","aurelia.szymczak@ziolkowska.pl","379432007","51702558649230"
"157","Wasilewski S.A.","nkalinowska@kazmierczak.org","559583595","37115321317350"
"158","Jaworski","pola63@krawczyk.pl","510423421","91285096571720"
"159","Brzezińska sp. p.","szymon03@blaszczyk.pl","976289370","01903138809750"
"160","Kołodziej","patrycja57@jaworski.pl","251812835","01839516041890"
"161","Nowicki","cieslak.maurycy@cieslak.net","436815285","45645758042869"
"162","Urbański i syn","blanka85@zajac.pl","917262569","11764454016026"
"163","Duda S.A.","inga.sawicka@dudek.pl","334465890","75198867168197"
"164","Wasilewski sp. z o.o.","azajac@krajewski.org","258543485","51178171424664"
"165","Grupa Kubiak","franciszek22@malinowski.net","738113448","47873350254152"
"166","Piotrowska s. c.","qgajewski@walczak.com.pl","898685399","35175425362663"
"167","Grupa Kubiak","malwina22@kaczmarczyk.com","394937626","51579538660975"
"168","Wróblewska S.A.","michalak.weronika@gorecka.org","130660810","85375423074510"
"169","Ziółkowska sp. z o.o.","wandrzejewska@krawczyk.info","236020511","39154490374349"
"170","Grupa Olszewska","sandra.wroblewska@wojciechowski.info","396813182","01804374588739"
"171","Spółdzielnia Pawlak","krystian15@michalski.com","793698006","59746982346263"
"172","Fundacja Stępień","maks49@walczak.pl","438124450","01579414909750"
"173","Górska-Jankowski","wszymczak@grabowski.com","559622384","19893415739068"
"174","Jaworska-Zakrzewska","hwysocka@rutkowski.com.pl","630012260","49115903682885"
"175","Michalak i syn","blaszczyk.joanna@marciniak.pl","596909579","19014978909535"
"176","Jabłoński sp. j.","maciej64@gajewska.com.pl","593952563","27260571085758"
"177","Borowska i syn","maurycy.wasilewski@szulc.pl","618698605","65779518932900"
"178","Stowarzyszenie Sadowska","mroz.ksawery@konieczny.pl","679523628","59834270559050"
"179","Michalak s. c.","karol.wilk@cieslak.pl","536529352","81895895106469"
"180","Walczak","dominika.wozniak@lis.com","456090850","45744814623276"
"181","Kaczmarek","aleks.krupa@kalinowski.com.pl","839426637","09038098192637"
"182","Baran sp. z o.o.","robert.kowalczyk@blaszczyk.net","333464180","09055514090897"
"183","Król","yjablonska@urbanski.pl","891952503","61675814850588"
"184","Głowacki-Szymczak","nowicka.iga@dudek.pl","077412518","77560013943535"
"185","Grupa Sokołowski","uwysocka@kucharski.pl","714180452","85978543837541"
"186","Ostrowski sp. p.","adam59@pawlowski.pl","952802768","47672127423370"
"187","Stowarzyszenie Sikora","michalak.alicja@kalinowska.pl","851086356","79888350121916"
"188","Kaczmarek-Adamski","lukasz90@czerwinska.com.pl","531970380","07239816214484"
"189","Błaszczyk s. c.","ostrowski.wojciech@mazurek.com.pl","215014955","77176826728290"
"190","Kaczmarczyk S.K.A","iwo48@kazmierczak.com.pl","250805678","73516687582492"
"191","Kubiak S.A.","kozlowska.ewelina@rutkowska.com","578138239","23712880269554"
"192","Wiśniewska-Kowalczyk","kajetan29@wrobel.pl","892343597","91857040008563"
"193","Krawczyk S.K.A","amelia.nowicka@kaczmarczyk.com.pl","752545639","97853452014327"
"194","Wilk P.P.O.F","amelia62@sadowska.pl","830670560","65047484982485"
"195","Grabowska","bruno40@mazur.com","177230553","19302145293729"
"196","Nowakowska S.K.A","tgajewska@sadowska.net","851523733","41418508026509"
"197","Nowak","stomaszewska@ziolkowska.pl","874368631","63248209979584"
"198","Stowarzyszenie Kucharski","xdudek@adamski.com","032409394","29381665187950"
"199","Kołodziej","malgorzata40@wlodarczyk.org","616885912","67523659931929"
"200","Marciniak","adamczyk.melania@szymanski.com.pl","239270898","75419686445923"
"201","Olszewska-Górska","konieczny.tomasz@kowalski.pl","758259627","87911657893971"
"202","Sobczak","justyna51@szymanski.pl","413116467","07579638366655"
"203","Stępień i syn","natan.przybylska@borowska.pl","151634302","53224974005826"
"204","Borowska-Wysocki","blanka58@dabrowski.pl","215000841","59061764047295"
"205","Ziółkowski sp. z o.o.","opawlowska@szczepanska.com.pl","919185235","97030464873620"
"206","Błaszczyk P.P.O.F","wojcik.andrzej@zielinska.pl","852983537","89778167555282"
"207","Sadowska sp. p.","iwo20@krol.net","779061219","09261145668954"
"208","Urbański-Zając","marta97@wasilewski.com.pl","550812893","15605222082031"
"209","Witkowski sp. p.","mazur.mikolaj@szczepanski.net","131900328","17970037185069"
"210","Adamski","lgrabowski@wieczorek.com.pl","875866615","87651801778907"
"211","Włodarczyk-Przybylski","fkrupa@sadowska.pl","379774096","77838817755035"
"212","Szulc-Zakrzewska","marciniak.kazimierz@wysocki.com.pl","191357716","21429288264782"
"213","Gajewska-Zalewski","anna17@duda.pl","154060706","65245791534236"
"214","Wróbel","rozalia35@czerwinska.com.pl","232004739","33209008408619"
"215","Grupa Błaszczyk","monika03@sokolowska.com.pl","217424769","89536564289826"
"216","Borowski P.P.O.F","cwlodarczyk@rutkowski.com.pl","216345230","85095140929804"
"217","Michalak-Adamczyk","nkrawczyk@nowak.net","594145238","53079645459010"
"218","Grabowska sp. j.","dominik58@andrzejewska.pl","898186377","75174230320186"
"219","Marciniak sp. k.","lkrupa@michalak.info","336285637","87630494859311"
"220","Duda sp. p.","kkowalczyk@jakubowska.info","293239248","49371732217706"
"221","Kaczmarek P.P.O.F","mroz.tomasz@krawczyk.pl","897948922","01980328271305"
"222","Stowarzyszenie Kamińska","mstepien@cieslak.com.pl","774961183","95656148020696"
"223","Szczepański","hlis@wlodarczyk.pl","057483238","73062439144749"
